ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[menu]Hit	AOI[left header]Hit	AOI[middle header]Hit	AOI[right header]Hit	AOI[Ponuky menu]Hit	AOI[ponuky1]Hit	AOI[ponuky2]Hit	AOI[ponuky3]Hit	AOI[ponuky4]Hit	AOI[footer]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									931187	16:03:41.256	1491572806606308																1		Fixation	200	889	267	0	0	0	0	0	0	0	0	0	0	38	887	344	913	339	900	341	893	254	244,08	235,68	251,17	237,05	247,63	236,36	205,48	173,64	610,74	268,24	172,85	609,44					624,96	624,96	2,90	2,85	0	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									931437	16:03:41.506	1491572806856276																2		Fixation	117	1042	415	0	0	0	0	0	1	0	0	0	0	53	1021	502	1085	499	1053	500	1046	413	280,92	192,17	298,48	193,02	289,70	192,59	206,10	172,99	609,08	268,84	172,09	608,13					623,14	623,14	2,95	2,85	0	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									931620	16:03:41.690	1491572807039653																3		Fixation	100	1488	95	1	0	0	0	0	0	0	0	0	0	64	1481	192	1514	164	1497	178	1490	91	407,27	277,53	416,33	285,14	411,80	281,33	208,20	173,54	607,78	270,97	172,39	607,60					621,86	621,86	2,94	2,86	0	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									931737	16:03:41.807	1491572807156858																4		Fixation	250	1395	126	0	0	0	0	0	0	0	0	0	0	71	1405	218	1405	189	1405	203	1398	116	386,41	270,34	386,45	278,41	386,43	274,38	209,18	173,68	607,10	272,05	172,52	607,50					621,16	621,16	2,95	2,93	0	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									932054	16:03:42.123	1491572807473518																5		Fixation	267	869	80	1	0	0	0	0	0	0	0	0	0	90	874	171	885	153	879	162	872	75	240,42	283,20	243,29	288,12	241,85	285,66	207,34	173,90	608,90	270,10	172,94	608,90					623,11	623,11	3,05	3,08	0	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									932371	16:03:42.440	1491572807790177																6		Fixation	133	357	90	1	0	0	0	0	0	0	0	0	0	109			359	155	359	155	352	68			98,83	287,71						268,40	172,76	608,53						0,00		3,00	4	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									932520	16:03:42.590	1491572807939699																7		Fixation	117	432	100	1	0	0	0	0	0	0	0	0	0	118	420	212	448	175	434	193	427	106	115,49	271,91	123,32	282,22	119,40	277,06	204,69	173,43	608,58	267,47	172,72	607,86					622,92	622,92	3,00	3,00	0	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									932737	16:03:42.806	1491572808156335																8		Fixation	200	286	1027	0	0	0	0	0	0	0	0	0	0	131	288	1122	316	1116	302	1119	295	1032	79,20	21,57	86,83	23,11	83,01	22,34	203,64	170,80	608,69	266,27	170,49	608,23					622,37	622,37	3,02	2,97	0	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									933204	16:03:43.273	1491572808623012																9		Fixation	117	212	648	0	0	0	0	0	0	0	0	0	0	159	187	763	239	743	213	753	206	666	51,53	120,41	65,63	125,73	58,58	123,07	203,81	171,00	609,42	266,41	170,42	609,04					623,10	623,10	2,95	2,93	0	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									933387	16:03:43.456	1491572808806326																10		Fixation	150	658	110	1	0	0	0	0	0	0	0	0	0	170	650	222	673	178	661	200	654	113	178,84	269,31	185,03	281,32	181,93	275,32	205,63	172,84	609,58	268,20	171,98	609,16					623,61	623,61	2,96	2,92	0	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									933553	16:03:43.623	1491572808972823																11		Fixation	250	643	65	1	0	0	0	0	0	0	0	0	0	180	638	163	659	137	648	150	641	63	175,37	285,40	181,24	292,63	178,31	289,02	206,07	173,16	610,38	268,76	172,21	609,82					624,42	624,42	2,95	2,87	0	0				
16.6.2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	7.4.2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/bratislava (1888x7633)	7	87	1888	7633									933837	16:03:43.906	1491572809256154																12		Fixation	367	817	65	1	0	0	0	0	0	0	0	0	0	197	811	153	842	140	826	146	819	59	222,94	288,28	231,48	291,75	227,21	290,02	206,16	173,03	610,52	268,91	172,07	609,93					624,51	624,51	2,92	2,88	0	0				
