ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[header]Hit	AOI[top_menu]Hit	AOI[image]Hit	AOI[info1]Hit	AOI[info2]Hit	AOI[Rectangle 8]Hit	AOI[Rectangle 10]Hit	AOI[Rectangle 11]Hit	AOI[Rectangle 12]Hit	AOI[Rectangle 13]Hit	AOI[Rectangle 14]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
23/09/2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	07/04/2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/zlava_197667_nezabudnutelny-splav-dravej-rieky-bela-s-hd-videom-z-raftu (1888x4649)	7	87	1888	4649									1093683	16:06:23.752	1491572969103890																1		Fixation	217	673	163												35	666	249	700	230	683	239	676	152	183.30	261.71	192.51	266.88	187.91	264.30	207.59	172.56	612.04	270.28	169.69	612.23					625.69	625.69	2.83	2.75	0	0				
23/09/2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	07/04/2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/zlava_197667_nezabudnutelny-splav-dravej-rieky-bela-s-hd-videom-z-raftu (1888x4649)	7	87	1888	4649									1093983	16:06:24.052	1491572969403933																2		Fixation	217	1288	91												53	1266	200	1320	155	1293	177	1286	90	348.13	275.31	363.11	287.59	355.62	281.45	207.64	174.27	612.48	270.39	171.93	613.40					626.60	626.60	2.85	2.75	0	0				
23/09/2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	07/04/2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/zlava_197667_nezabudnutelny-splav-dravej-rieky-bela-s-hd-videom-z-raftu (1888x4649)	7	87	1888	4649									1094233	16:06:24.302	1491572969653982																3		Fixation	67	1125	300												68	1107	390	1151	383	1129	386	1122	299	304.33	222.93	316.44	224.97	310.39	223.95	207.00	173.32	609.51	269.65	171.00	610.53					623.56	623.56	2.87	2.80	0	0				
23/09/2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	07/04/2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/zlava_197667_nezabudnutelny-splav-dravej-rieky-bela-s-hd-videom-z-raftu (1888x4649)	7	87	1888	4649									1094483	16:06:24.552	1491572969903882																4		Fixation	233	446	54												83	428	142	476	125	452	133	445	46	117.74	291.34	130.90	295.91	124.32	293.62	204.44	173.06	607.43	267.13	171.06	607.86					621.75	621.75	2.92	2.89	0	0				
23/09/2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	07/04/2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/zlava_197667_nezabudnutelny-splav-dravej-rieky-bela-s-hd-videom-z-raftu (1888x4649)	7	87	1888	4649									1107204	16:06:37.273	1491572982625315																5		Fixation	137	1353	927												852																			-8.38										4	4				
23/09/2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	07/04/2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/zlava_197667_nezabudnutelny-splav-dravej-rieky-bela-s-hd-videom-z-raftu (1888x4649)	7	87	1888	4649									1107441	16:06:37.510	1491572982862200																6		Fixation	150	1350	821												866			1366	912	1366	912	1359	825			375.78	79.25						268.28	162.05	605.72						0.00		2.55	4	0				
23/09/2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	07/04/2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/zlava_197667_nezabudnutelny-splav-dravej-rieky-bela-s-hd-videom-z-raftu (1888x4649)	7	87	1888	4649									1107708	16:06:37.777	1491572983129527																7		Fixation	200	1401	906												882	1414	990	1393	1009	1403	999	1396	912	388.76	57.92	383.25	52.57	386.01	55.25	207.58	165.41	607.77	270.39	164.04	610.79					619.58	619.58	2.56	2.55	0	0				
23/09/2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	07/04/2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/zlava_197667_nezabudnutelny-splav-dravej-rieky-bela-s-hd-videom-z-raftu (1888x4649)	7	87	1888	4649									1107925	16:06:37.994	1491572983346231																8		Fixation	350	1361	975												895	1365	1058	1386	1062	1375	1060	1368	973	375.46	39.07	381.10	38.11	378.28	38.59	210.05	165.02	606.59	272.73	163.20	611.16					618.12	618.12	2.63	2.62	0	0				
23/09/2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	07/04/2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/zlava_197667_nezabudnutelny-splav-dravej-rieky-bela-s-hd-videom-z-raftu (1888x4649)	7	87	1888	4649									1108341	16:06:38.411	1491572983762648																9		Fixation	150	602	927												920			613	1011	613	1011	606	924			168.68	52.00						270.86	161.86	607.75						0.00		2.77	4	0				
23/09/2017	3.4.4	ontozur_beh_2	New test	tester07	tester07	07/04/2017	2917448	1920 x 1200	I-VT filter	https://www.zlavadna.sk/zlava_197667_nezabudnutelny-splav-dravej-rieky-bela-s-hd-videom-z-raftu (1888x4649)	7	-483	1888	4649									1108558	16:06:38.627	1491572983979276																10		Fixation	83	596	1408												933	580	919	624	945	602	932	595	1415	159.61	77.41	171.61	70.27	165.61	73.84	207.06	164.99	602.90	269.82	163.36	606.33					614.86	614.86	2.70	2.74	0	0				
